query,KO,KEGG_taxon,KEGG_score,SwissProt_subject,SwissProt_taxon,SwissProt_bitscore,SwissProt_evalue,NR_subject,NR_taxon,NR_bitscore,NR_evalue
g3878.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR04840CA,108.612,sp|Q59N20|MSS11_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),121.0,4.53e-28,gb|KHC45244.1|,Candida albicans P60002,119.0,5.10e-26
g3716.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307760CA,458.759,sp|Q6IE26|EPHX4_MOUSE,Mus musculus,94.4,1.05e-20,ref|XP_719809.1|,Candida albicans SC5314,462.0,5.60e-161
g1871.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,179.489,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),155.0,4.81e-44,ref|XP_002545274.1|,Candida tropicalis MYA-3404,212.0,3.21e-65
g6569.t1,K13181,Fungi | Ascomycetes | Saccharomycetes | kla:KLLA0_F15752g,64.6994,sp|Q6BTL5|DRS1_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),74.3,4.19e-16,ref|XP_062879929.1|,Australozyma saopauloensis,97.4,7.17e-21
g6746.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302870CA,689.493,sp|P38680|MTR_NEUCR,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),232.0,2.05e-69,ref|XP_049180954.1|,Candida oxycetoniae,754.0,0.0
g1195.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400290CA,254.218,sp|Q1QYU7|GBMOO_CHRSD,Chromohalobacter salexigens (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11),90.9,4.21e-21,ref|XP_066831919.1|,Lodderomyces beijingensis,255.0,3.01e-80
g2867.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C207930CA,140.198,sp|P37370|VRP1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),71.6,5.65e-12,gb|KGU28854.1|,Candida albicans P34048,141.0,4.51e-32
g2765.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209130CA,77.4109,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),80.5,3.35e-18,gb|EDK47355.1|,Lodderomyces elongisporus NRRL YB-4239,100.0,6.23e-24
g2678.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,2065.04,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),1707.0,0.0,gb|RCK59213.1|,Candida viswanathii,2288.0,0.0
g744.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,207.608,sp|P38859|DNA2_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),84.0,5.29e-18,gb|KAF6071070.1|,Candida albicans,218.0,2.02e-62
g5120.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C301750CA,65.855,sp|Q5AJC1|BRO1_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),53.9,9.09e-09,ref|XP_064773899.1|,Scheffersomyces xylosifermentans,66.2,7.04e-10
g2437.t1,K11676,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C208720WA,182.956,sp|P40154|IES2_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),55.1,3.63e-07,gb|RLV93017.1|,Spathaspora sp. JA1,246.0,8.15e-74
g3692.t1,K06695,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406150CA,139.428,sp|P53187|HOP2_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),58.9,1.77e-09,gb|KGQ92596.1|,Candida albicans GC75,149.0,5.80e-41
g1515.t1,K13181,Fungi | Ascomycetes | Saccharomycetes | kla:KLLA0_F15752g,60.8474,sp|Q6BTL5|DRS1_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),73.2,5.13e-15,emb|SCU82807.1|,Lachancea meyersii CBS 8951,78.2,1.51e-13
g3534.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C100370WA,119.398,sp|Q5RIM0|LYRM2_DANRE,Danio rerio,48.9,1.02e-07,gb|KAG4405095.1|,Candida tropicalis,131.0,6.97e-37
g2428.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C208060WA,125.561,sp|Q4ZGE1|EMR1_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),56.6,1.28e-11,gb|KAL6450561.1|,Candida maltosa Xu316,127.0,2.85e-36
g7194.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR09930WA,169.474,sp|Q04608|YD124_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),79.7,2.51e-15,ref|XP_067549948.1|,Candida metapsilosis,232.0,1.59e-65
g7037.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,288.115,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),181.0,9.95e-50,ref|XP_002545273.1|,Candida tropicalis MYA-3404,303.0,4.90e-96
g7144.t1,K18278,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR09290WA,603.594,sp|C4YMW2|THI5_CANAW,Candida albicans (strain WO-1),617.0,0.0,ref|XP_051611038.1|,Candida theae,637.0,0.0
g6250.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C405380CA,85.1149,sp|P46965|SPC1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),46.2,6.48e-07,gb|KAL6450210.1|,Candida maltosa Xu316,110.0,4.89e-29
g3911.t1,K10992,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR05580CA,148.288,sp|P32489|MEI5_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),52.0,2.88e-07,gb|RCK62302.1|,Candida viswanathii,155.0,5.11e-44
g813.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,196.823,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),125.0,1.01e-32,gb|RCK59213.1|,Candida viswanathii,216.0,2.72e-61
g5857.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,149.058,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),129.0,1.68e-35,ref|XP_049265401.1|,Candida,160.0,3.55e-43
g4598.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR01470WA,233.802,sp|P53707|CSP37_CANAX,Candida albicans,230.0,5.20e-72,ref|XP_051607788.1|,Candida theae,310.0,2.45e-99
g628.t1,K12763,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR07890WA,274.248,sp|Q59X67|EFG1_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),295.0,1.64e-91,gb|AJT59418.1|,Candida tropicalis,316.0,2.22e-96
g7801.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00170WA,339.732,sp|A0A0J9WP80|FTF2_FUSO4,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936),73.9,1.56e-13,ref|XP_002546284.1|,Candida tropicalis MYA-3404,352.0,1.10e-114
g8100.t1,K03325,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406890WA,163.696,sp|Q06598|ARR3_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),110.0,8.15e-29,ref|XP_064774541.1|,Scheffersomyces xylosifermentans,184.0,1.44e-53
g2609.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C504970CA,142.51,sp|P07272|PPR1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),62.8,1.41e-11,ref|XP_002420751.1|,Candida dubliniensis CD36,154.0,1.23e-40
g6322.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406260WA,170.244,sp|Q5A1A9|PGA43_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),158.0,1.39e-46,gb|RLV90696.1|,Spathaspora sp. JA1,196.0,4.00e-58
g5241.t1,K12619,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C401080WA,139.813,sp|Q6BNU7|XRN2_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),152.0,2.94e-43,emb|CAI5759432.1|,Candida verbasci,156.0,1.16e-41
g4744.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C207170CA,140.584,sp|Q59Z29|AFT2_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),140.0,3.53e-33,ref|XP_020065290.1|,Suhomyces tanzawaensis NRRL Y-17324,176.0,1.01e-42
g2236.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205180WA,91.2781,sp|P43074|WHS11_CANAW,Candida albicans (strain WO-1),86.7,1.86e-23,ref|XP_002619738.2|,Clavispora lusitaniae,91.7,3.88e-22
g1484.t1,K20028,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C306990WA,110.538,sp|Q5ADN9|PFA3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),105.0,1.34e-27,gb|EMG49077.1|,Candida maltosa Xu316,119.0,7.10e-29
g100.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,260.381,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),184.0,6.99e-52,gb|KAK6885667.1|,Candida tropicalis,290.0,1.10e-85
g7130.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR09140CA,634.409,sp|Q03104|MSC1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),164.0,9.53e-42,gb|RCK66108.1|,Candida viswanathii,694.0,0.0
g3731.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,880.167,sp|P38859|DNA2_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),309.0,1.39e-87,ref|XP_002420829.1|,Candida dubliniensis CD36,942.0,0.0
g6390.t1,K10881,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406880CA,70.8626,sp|O94742|SEM1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),51.2,8.51e-09,ref|XP_020065654.1|,Suhomyces tanzawaensis NRRL Y-17324,89.0,1.28e-20
g5036.t1,K12619,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C401080WA,139.813,sp|Q6BNU7|XRN2_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),152.0,2.94e-43,emb|CAI5759432.1|,Candida verbasci,156.0,1.16e-41
g7538.t1,K03457,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C303140CA,955.281,sp|Q04895|DAL4_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),548.0,0.0,gb|EMG50384.1|,Candida maltosa Xu316,962.0,0.0
g3214.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,99.7525,sp|A0A1P8ASY1|JHS1_ARATH,Arabidopsis thaliana,72.8,1.96e-15,gb|KAL6453984.1|,Candida maltosa Xu316,114.0,7.93e-27
g6272.t1,K13113,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C405040WA,135.576,sp|Q6BUP7|HUB1_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),130.0,8.03e-41,emb|CAI5759266.1|,Candida verbasci,138.0,1.92e-40
g4830.t1,K17974,Fungi | Ascomycetes | Saccharomycetes | kla:KLLA0_E06029g,73.1738,sp|P47135|JSN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),79.0,1.34e-17,gb|RCK65000.1|,Candida viswanathii,129.0,6.01e-32
g5318.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C403290WA,776.933,sp|P40850|MKT1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),296.0,6.32e-87,gb|KAG2733145.1|,Scheffersomyces stipitis,969.0,0.0
g4116.t1,K01918,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR02580WA,472.626,sp|P40459|PANC_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),276.0,3.63e-91,ref|XP_049263518.1|,Candida,511.0,2.88e-180
g4300.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,135.191,sp|P38859|DNA2_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),47.8,9.78e-07,ref|XP_002420829.1|,Candida dubliniensis CD36,145.0,6.13e-38
g7368.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703290CA,253.447,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),261.0,1.68e-79,ref|XP_051674018.1|,Candida margitis,281.0,5.13e-88
g5001.t1,K03508,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209480WA,189.504,sp|Q0E7J8|REV7_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),50.8,1.68e-06,gb|EDK44404.1|,Lodderomyces elongisporus NRRL YB-4239,220.0,2.04e-67
g1613.t1,K14715,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C300390WA,199.134,sp|Q640S1|S39A9_XENTR,Xenopus tropicalis,119.0,1.31e-30,ref|XP_002418984.1|,Candida dubliniensis CD36,223.0,1.09e-67
g4754.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C207110CA,647.121,sp|P43596|IOC3_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),59.7,8.87e-08,gb|KGU28775.1|,Candida albicans P34048,657.0,0.0
g4826.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C301750CA,63.929,sp|Q5AJC1|BRO1_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),52.8,2.25e-08,ref|XP_064773899.1|,Scheffersomyces xylosifermentans,63.9,3.55e-09
g4652.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,135.191,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),109.0,1.98e-28,ref|XP_002545274.1|,Candida tropicalis MYA-3404,159.0,5.73e-45
g712.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR07260CA,143.665,sp|Q9BWT6|MND1_HUMAN,Homo sapiens,85.9,1.39e-19,ref|XP_002548764.1|,Candida tropicalis MYA-3404,166.0,1.09e-47
g1127.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,132.88,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),65.5,6.04e-12,gb|KAK6892306.1|,Candida tropicalis,147.0,1.72e-37
g2289.t1,K03317,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C206020WA,903.279,sp|Q9UA35|S28A3_EPTST,Eptatretus stoutii,266.0,8.27e-79,gb|EMG50684.1|,Candida maltosa Xu316,946.0,0.0
g5464.t1,K11885,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C114420WA,427.172,sp|Q6BK42|DDI1_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),320.0,1.11e-105,gb|KAK6874446.1|,Candida tropicalis,489.0,1.04e-170
g6341.t1,K23887,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406530CA,889.026,sp|Q07307|UAPA_EMENI,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),639.0,0.0,emb|CAI5759357.1|,Candida verbasci,978.0,0.0
g58.t1,K08836,Animals | Birds | Galliformes | gga:423878,54.299,sp|Q9Y7S2|YQO3_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),48.9,1.83e-06,emb|CDN39810.1|,Streptococcus pneumoniae,87.0,1.70e-16
g2236.t2,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205180WA,97.0561,sp|P43074|WHS11_CANAW,Candida albicans (strain WO-1),92.0,1.28e-25,ref|XP_002619738.2|,Clavispora lusitaniae,102.0,2.22e-26
g4800.t1,K04567,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C701870WA,87.8113,sp|O74858|SYKM_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),46.2,4.19e-06,ref|XP_067547141.1|,Candida metapsilosis,126.0,8.77e-32
g1158.t1,K07512,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C300200CA,50.8322,sp|Q8WZM4|ETR2_CANTR,Candida tropicalis,50.8,9.48e-09,gb|KAL6450786.1|,acyl-carrier-protein,53.9,1.61e-06
g6812.t1,K01455,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302060WA,743.421,sp|Q9URY7|FMDA_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),602.0,0.0,gb|RCK64416.1|,Candida viswanathii,772.0,0.0
g99.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,259.61,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),180.0,9.19e-51,gb|KAK6885667.1|,Candida tropicalis,290.0,9.94e-86
g7017.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209130CA,82.0333,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),80.9,1.31e-17,ref|XP_060975627.1|,Lodderomyces elongisporus,96.7,6.94e-20
g5268.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,161.77,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),145.0,6.39e-41,ref|XP_002545274.1|,Candida tropicalis MYA-3404,168.0,1.30e-48
g3272.t1,K15278,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209700WA,340.502,sp|P40004|YEA4_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),213.0,8.23e-66,ref|XP_002547696.1|,Candida tropicalis MYA-3404,357.0,2.97e-119
g3969.t1,K11568,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR06160CA,79.3369,sp|Q59VC6|DAD3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),72.8,4.70e-16,ref|XP_003869477.1|,Candida orthopsilosis Co 90-125,87.4,1.18e-18
g3011.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C502110WA,128.257,sp|P22943|HSP12_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),75.1,2.16e-17,emb|CAI5759899.1|,Candida verbasci,171.0,1.12e-51
g768.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,167.548,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),137.0,1.13e-36,dbj|GME83683.1|,Ambrosiozyma monospora,196.0,1.11e-55
g3941.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR05760CA,363.229,sp|Q06821|YP084_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),191.0,4.19e-56,gb|KAL1574709.1|,Candida albicans,375.0,5.89e-126
g6504.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500730WA,64.6994,sp|Q06852|SLAP1_ACET2,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),145.0,1.27e-36,emb|CAI5961232.1|,Closterium sp. NIES-65,198.0,9.57e-52
g6752.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302550CA,199.134,sp|P32460|DCG1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),108.0,1.98e-27,ref|XP_049181373.1|,Candida oxycetoniae,243.0,8.86e-77
g1689.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400290CA,179.489,sp|Q1QYU7|GBMOO_CHRSD,Chromohalobacter salexigens (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11),80.1,8.32e-18,ref|XP_001383973.1|,Scheffersomyces stipitis CBS 6054,180.0,1.21e-54
g6419.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406980WA,363.229,sp|P87020|PRA1_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),364.0,6.18e-126,ref|XP_002420285.1|,Candida dubliniensis CD36,369.0,1.57e-124
g5363.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600070CA,121.324,sp|Q59L86|PGA25_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),62.4,6.29e-09,ref|XP_051622343.1|,Candida jiufengensis,93.6,1.24e-15
g676.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR08510WA,96.2857,sp|Q5A343|PGA13_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),93.2,3.62e-20,gb|EMG48108.1|,Candida maltosa Xu316,140.0,3.37e-34
g5046.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,136.732,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),110.0,8.41e-29,gb|KAK6880265.1|,Candida tropicalis,142.0,1.71e-38
g3642.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307860CA,65.855,sp|Q59MJ1|MRR2_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),67.8,9.34e-14,ref|XP_066830181.1|,Lodderomyces beijingensis,99.8,9.98e-22
g2301.t1,K25662,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205900WA,188.348,sp|Q06032|CST9_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),63.2,7.95e-10,gb|KAK6875979.1|,Candida tropicalis,219.0,4.35e-65
g7374.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C210330CA,96.6709,sp|Q5A5U4|RHD3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),66.6,1.83e-13,ref|XP_001523183.1|,Lodderomyces elongisporus,100.0,5.17e-24
g7604.t1,None,Plants | Eudicots | Solanaceae | sly:104647491,80.4925,sp|Q8R149|BUD13_MOUSE,Mus musculus,58.9,7.58e-08,ref|XP_063594314.1|,Penaeus indicus,203.0,1.10e-54
g3251.t1,K21053,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C206970WA,580.096,sp|Q59ZB1|ADE_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),583.0,0.0,gb|EMG47192.1|,Candida maltosa Xu316,591.0,0.0
g7735.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,258.84,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),187.0,2.84e-52,emb|CAI5759429.1|,Candida verbasci,304.0,1.09e-89
g2586.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C105790WA,88.9669,sp|P39103|COX14_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),48.1,5.21e-08,ref|XP_019330655.1|,Candida albicans SC5314,103.0,9.03e-27
g18.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703620CA,96.2857,sp|O74350|BDC1_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),70.9,3.26e-13,gb|RCK66411.1|,Candida viswanathii,111.0,1.02e-23
