NR_query,NR_subject,NR_taxon,NR_bitscore,NR_evalue
g1812.t1,ref|XP_020077282.1|,Hyphopichia burtonii NRRL Y-1933,63.9,2.24e-09
g3433.t1,gb|KAL6451141.1|,Candida maltosa Xu316,57.8,2.22e-07
g3891.t1,gb|EMG48757.1|,Candida maltosa Xu316,94.7,1.19e-22
g7126.t1,gb|KAL6449814.1|,Candida maltosa Xu316,71.2,1.38e-09
g7574.t1,ref|XP_064773437.1|,Scheffersomyces xylosifermentans,67.8,1.26e-10
g7399.t1,gb|MFN3178767.1|,Thermus sp.,63.2,1.66e-07
g7156.t2,ref|XP_049263485.1|,Candida,74.7,1.48e-11
g4818.t1,gb|RCK57511.1|,Candida viswanathii,60.1,1.03e-08
g7483.t1,gb|RCK67359.1|,Candida viswanathii,58.2,3.37e-07
g3127.t1,ref|XP_001385008.2|,Scheffersomyces stipitis CBS 6054,99.4,7.97e-19
g2271.t2,gb|KAL6452361.1|,Candida maltosa Xu316,65.1,1.77e-09
g1497.t1,ref|XP_049264411.1|,Candida,73.9,1.21e-12
g7168.t1,gb|RCK66101.1|,Candida viswanathii,87.4,1.60e-14
g8030.t1,ref|XP_051619742.1|,Candida jiufengensis,58.2,8.35e-07
g6936.t1,gb|KAG2734777.1|,Scheffersomyces stipitis,76.6,2.93e-15
g3463.t1,gb|EMG48061.1|,Candida maltosa Xu316,58.2,6.27e-07
g4436.t1,ref|XP_001382431.2|,Scheffersomyces stipitis CBS 6054,74.3,7.78e-13
g3205.t1,dbj|BGR34489.1|,Thiomonas islandica,62.4,2.56e-10
g6896.t1,gb|EMG46438.1|,Candida maltosa Xu316,204.0,2.71e-56
g2915.t1,ref|XP_051622459.1|,Candida jiufengensis,62.8,1.89e-08
g7222.t1,gb|KAL6449814.1|,Candida maltosa Xu316,63.5,3.48e-07
g4886.t1,ref|XP_049179489.1|,Candida oxycetoniae,65.5,3.00e-09
g3959.t1,ref|XP_051620315.1|,Candida jiufengensis,89.0,1.55e-16
g1493.t1,ref|XP_049264411.1|,Candida,73.9,1.21e-12
g5165.t1,gb|KAL6451884.1|,Candida maltosa Xu316,55.5,5.62e-07
g723.t1,gb|KAL7665916.1|,Candida,74.7,5.67e-13
g7052.t1,emb|CAI5757407.1|,Candida verbasci,70.1,7.49e-12
g2044.t1,gb|RCK67266.1|,Candida viswanathii,112.0,6.27e-25
g7190.t1,ref|XP_049263485.1|,Candida,59.3,9.92e-07
g4550.t1,gb|EMG47722.1|,Candida maltosa Xu316,57.4,8.30e-07
g3127.t2,ref|XP_001385008.2|,Scheffersomyces stipitis CBS 6054,100.0,1.74e-18
g7069.t1,gb|KGU18125.1|,Candida albicans P34048,65.1,1.81e-09
g6575.t1,ref|XP_002419691.1|,Candida dubliniensis CD36,57.4,1.89e-06
g7626.t1,ref|XP_049265963.1|,Candida,64.7,6.32e-10
g5994.t1,ref|XP_049262254.1|,Candida,56.2,1.57e-06
g7190.t2,ref|XP_049263485.1|,Candida,80.1,6.66e-13
g115.t1,ref|XP_049261121.1|,Candida,62.4,5.42e-08
