query,KO,taxon,score
g575.t1,K05841,Fungi | Ascomycetes | Eurotiomycetes | afm:AFUA_2G02220,28.8758
g7025.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604140CA,68.5514
g4550.t1,None,Bacteria | Betaproteobacteria | Paraburkholderia | bxe:Bxe_B2742,31.9574
g7750.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200900WA,38.891
g2298.t2,K02269,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205930WA,97.0561
g3637.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500050WA,116.316
g7709.t1,K18633,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406080WA,66.6254
g7446.t1,K18748,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C504730CA,187.578
g368.t1,None,Viruses | Viruses | vg | vg:62680302,28.8758
g5540.t1,None,Animals | Mammals | Rodentia | rno:501795,41.5874
g3246.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C210020CA,51.9878
g338.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602090CA,58.151
g523.t1,K04573,Animals | Amphibians | Anura | xla:397994,41.9726
g4886.t1,None,Bacteria | Aquificota | Aquifex | aae:aq_1219,28.8758
g2845.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C207700CA,77.0257
g6250.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C405380CA,85.1149
g6003.t1,None,Animals | Mammals | Artiodactyla | bta:527518,29.261
g5252.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703620CA,117.857
g2301.t1,K25662,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205900WA,188.348
g2739.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C106440CA,211.075
g4641.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400100CA,80.8777
g3596.t1,K24429,Animals | Amphibians | Anura | xtr:100494603,30.4166
g4785.t1,None,Plants | Green algae | Chlamydomonadaceae | cre:CHLRE_12g504100v5,30.8018
g7829.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C502780WA,51.9878
g4284.t1,None,Viruses | Viruses | vg | vg:19487392,28.1054
g2692.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C111410CA,87.4261
g7811.t1,K01764,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C402130WA,33.4982
g5985.t1,K27887,Plants | Monocots | Poaceae | zma:100381956,28.1054
g5403.t1,K01534,Protists | Stramenopiles | Bacillariophyta | pti:PHATRDRAFT_676,25.7942
g5001.t1,K03508,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209480WA,189.504
g2206.t1,K11099,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C203880CA,112.079
g4419.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,114.775
g5775.t1,K21855,Viruses | Viruses | vg | vg:2949781,29.6462
g3457.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C402920WA,76.2553
g4515.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00170WA,96.6709
g4540.t1,None,Animals | Amphibians | Anura | xla:494751,28.1054
g3612.t1,K22804,Animals | Mammals | Artiodactyla | bta:510381,25.409
g5885.t1,None,Bacteria | Cyanobacteriota | Nostoc | ana:alr2258,24.6386
g1699.t1,K22531,Animals | Birds | Galliformes | gga:421972,29.6462
g4973.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C208980CA,49.6766
g5061.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302870CA,122.479
g7190.t2,K07232,Animals | Mammals | Artiodactyla | ssc:100524723,35.8094
g1464.t1,K00826,Plants | Green algae | Chlamydomonadaceae | cre:CHLRE_02g081400v5,33.113
g2869.t1,K05681,Plants | Eudicots | Solanaceae | sly:101253635,25.7942
g223.t1,K10991,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C107980CA,108.227
g296.t1,None,Plants | Monocots | Poaceae | osa:4325839,26.9498
g4744.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C207170CA,140.584
g8005.t1,K01552,Bacteria | Bacilli | Staphylococcus | ser:SERP0661,30.8018
g5074.t1,None,Viruses | Viruses | vg | vg:18506408,25.0238
g5433.t1,K11390,Animals | Amphibians | Anura | xla:447169,32.7278
g4826.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C301750CA,63.929
g5745.t1,None,Plants | Eudicots | Fabaceae | gmx:112998769,22.7126
g3891.t1,None,Protists | Stramenopiles | Bacillariophyta | pti:PHATRDRAFT_23497,29.261
g2934.t1,None,Protists | Amoebozoa | Evosea | ddi:DDB_G0274659,36.965
g6419.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406980WA,363.229
g2464.t1,K24553,Animals | Mammals | Carnivora | cfa:475282,26.1794
g3863.t1,K11841,Fungi | Ascomycetes | Eurotiomycetes | aor:AO090012000968,38.5058
g1779.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209820WA,67.3958
g345.t2,K06507,Animals | Fishes | Cypriniformes | dre:100329481,34.2686
g676.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR08510WA,96.2857
g6272.t1,K13113,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C405040WA,135.576
g1237.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C304410CA,269.626
g724.t1,K24144,Animals | Mammals | Didelphimorphia | mdo:100618251,22.3274
g2766.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,117.472
g2723.t1,K17773,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C106640CA,92.4337
g3462.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C402920WA,76.2553
g5084.t1,K20774,Animals | Mammals | Didelphimorphia | mdo:100012821,28.8758
g7125.t2,K06507,Animals | Fishes | Cypriniformes | dre:100329481,29.6462
g1846.t1,K06205,Bacteria | Enterobacteria | Pectobacterium | eca:ECA0001,26.1794
g1195.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400290CA,254.218
g599.t1,None,Viruses | Viruses | vg | vg:11295055,26.9498
g7565.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C305990CA,162.925
g1369.t1,None,Bacteria | Cyanobacteriota | Synechocystis | syn:slr0569,28.1054
g6542.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400100CA,143.28
g1674.t1,K03844,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602270CA,165.622
g4454.t1,None,Viruses | Viruses | vg | vg:77934880,25.409
g365.t1,K11501,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603420WA,168.703
g3692.t1,K06695,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406150CA,139.428
g5994.t1,None,Fungi | Basidiomycetes | Tremellomycetes | cne:CNN00020,29.6462
g115.t1,None,Viruses | Viruses | vg | vg:71841108,29.6462
g675.t2,K04646,Animals | Insects | Coleoptera | tca:656193,31.9574
g675.t1,None,Bacteria | Cyanobacteriota | Gloeobacter | gvi:gll0778,31.9574
g4569.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600070CA,40.4318
g3363.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C102210WA,60.8474
g2072.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C202750CA,85.8853
g7222.t1,None,Plants | Eudicots | Rosaceae | mdm:103454009,28.4906
g3102.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604140CA,102.449
g1003.t1,None,Bacteria | other Gammaproteobacteria | Xanthomonas | xcc:XCC4015,26.1794
g8030.t1,None,Fungi | Ascomycetes | Sordariomycetes | fgr:FGSG_07426,27.335
g2954.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00170WA,200.675
g6812.t1,K01455,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302060WA,743.421
g7717.t1,None,Viruses | Viruses | vg | vg:62648593,27.7202
g7788.t1,None,Protists | Euglenozoa | Kinetoplastea | lma:LMJF_27_1820,27.7202
g4663.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C501500CA,95.9005
g4254.t1,K23788,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604470CA,93.2041
g4081.t1,K07603,Animals | Amphibians | Anura | xla:108697407,31.5722
g7992.t1,K24553,Animals | Amphibians | Anura | xtr:100493540,29.261
g2936.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C601960WA,41.5874
g1484.t1,K20028,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C306990WA,110.538
g5161.t1,K11484,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C402300WA,36.5798
g1812.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C601620WA,49.6766
g824.t1,K13210,Plants | Eudicots | Cucurbitaceae | csv:101221280,31.5722
g2647.t1,None,Animals | Amphibians | Anura | xtr:100495411,29.261
g1861.t1,K10527,Plants | Monocots | Poaceae | zma:100285945,26.9498
g4652.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,135.191
g1127.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,132.88
g5025.t1,K01426,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702920WA,53.1434
g7035.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00170WA,214.542
g399.t1,K08838,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602160WA,181.8
g4332.t1,None,Protists | Euglenozoa | Kinetoplastea | lma:LMJF_24_1130,31.5722
g6961.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C404400CA,84.3445
g2662.t1,None,Viruses | Viruses | vg | vg:1403672,28.1054
g4649.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,136.732
g2508.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,456.447
g2303.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205870WA,74.3294
g1505.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C502430WA,38.891
g8100.t1,K03325,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406890WA,163.696
g322.t1,None,Animals | Mammals | Rodentia | rno:120099830,50.0618
g3036.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C502310CA,167.548
g4950.t1,K01539,Animals | Insects | Diptera | aag:5575790,26.9498
g3456.t1,K16073,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302370CA,79.7221
g6738.t1,K11647,Plants | Eudicots | Cucurbitaceae | csv:101221426,30.4166
g1105.t1,K22023,Animals | Amphibians | Anura | xtr:108647333,28.8758
g6716.t1,K06184,Plants | Eudicots | Euphorbiaceae | rcu:8271340,29.6462
g84.t1,K03072,Bacteria | Actinomycetota | Mycobacterium | mtu:Rv2587c,36.5798
g1167.t1,None,Animals | Insects | Coleoptera | tca:656932,29.261
g3604.t1,K24429,Animals | Amphibians | Anura | xtr:100494603,30.4166
g4920.t1,K02227,Bacteria | Betaproteobacteria | Aromatoleum | eba:ebA5199,28.4906
g1299.t1,None,Plants | Eudicots | Rosaceae | mdm:139196239,29.6462
g1417.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C104910CA,388.652
g3730.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C601960WA,58.151
g6591.t1,K00419,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C402890CA,79.3369
g4770.t1,None,Viruses | Viruses | vg | vg:26628765,27.335
g736.t1,K13448,Plants | Eudicots | Vitaceae | vvi:100248601,28.1054
g7029.t2,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209130CA,233.417
g5165.t1,K16261,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C401100CA,41.5874
g4310.t1,K25874,Animals | Fishes | Beloniformes | ola:101170290,29.6462
g6785.t1,None,Animals | Insects | Diptera | aga:1269451,30.8018
g6485.t1,K13127,Fungi | Ascomycetes | Eurotiomycetes | aor:AO090701000678,28.1054
g3214.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,99.7525
g1638.t1,None,Bacteria | Enterobacteria | Citrobacter | cro:ROD_25901,31.5722
g2241.t1,None,Viruses | Viruses | vg | vg:16836168,29.261
g2265.t1,None,Bacteria | Actinomycetota | Amycolatopsis | amd:AMED_7034,32.7278
g4100.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR02750CA,32.3426
g6504.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500730WA,64.6994
g3777.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505440CA,65.0846
g7194.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR09930WA,169.474
g5834.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C501500CA,95.9005
g4123.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR02930WA,205.297
g4504.t1,K16807,Animals | Fishes | Cypriniformes | dre:794500,29.261
g7368.t2,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209130CA,229.95
g6791.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302300WA,66.6254
g2812.t1,K16073,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302370CA,33.8834
g3219.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C306520CA,81.2629
g6452.t1,K05658,Plants | Eudicots | Solanaceae | sly:101261549,30.8018
g7706.t1,K15162,Animals | Insects | Diptera | dme:Dmel_CG8491,30.0314
g8098.t1,None,Protists | Stramenopiles | Bacillariophyta | tps:THAPSDRAFT_2222,28.1054
g3463.t1,K00938,Fungi | Basidiomycetes | Tremellomycetes | cne:CNM00100,26.9498
g8233.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C110740CA,97.0561
g6478.t2,K06269,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603830WA,59.6918
g344.t2,K20632,Animals | Amphibians | Anura | xtr:100490096,28.4906
g2271.t1,K19029,Animals | Insects | Diptera | aga:1280661,30.4166
g4080.t1,K02063,Bacteria | other Gammaproteobacteria | Actinobacillus | apl:APL_1321,25.0238
g2289.t1,K03317,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C206020WA,903.279
g4725.t1,None,Plants | Eudicots | Cucurbitaceae | csv:101211238,30.0314
g5108.t1,K04426,Animals | other Ecdysozoa | Nematodes | cel:CELE_F59A6.1,28.8758
g8147.t1,None,Animals | Amphibians | Anura | xla:734156,31.187
g712.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR07260CA,143.665
g5241.t1,K12619,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C401080WA,139.813
g1515.t1,K13181,Fungi | Ascomycetes | Saccharomycetes | kla:KLLA0_F15752g,60.8474
g7366.t1,K03247,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307420WA,30.0314
g5909.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00270CA,108.997
g1310.t1,None,Plants | Eudicots | Fabaceae | mtr:25493043,28.8758
g6390.t1,K10881,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406880CA,70.8626
g7663.t1,K03953,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C301610WA,42.3578
g8019.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603360CA,48.521
g3272.t1,K15278,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209700WA,340.502
g574.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600980CA,41.9726
g2932.t1,K17608,Fungi | Ascomycetes | Sordariomycetes | smp:10802793,29.6462
g8087.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR07730WA,41.2022
g2671.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,143.665
g3577.t1,K22804,Animals | Mammals | Artiodactyla | bta:510381,25.409
g7312.t1,K20131,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602630CA,40.817
g1030.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C304410CA,111.694
g8073.t1,None,Bacteria | Clostridia | Clostridioides | cdf:CD630_12190,31.187
g1001.t1,None,Plants | Monocots | Poaceae | osa:4341715,29.261
g973.t1,None,Viruses | Viruses | vg | vg:40085802,28.4906
g3878.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR04840CA,108.612
g7456.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C504140WA,166.777
g93.t1,None,Animals | Amphibians | Anura | xla:121397306,45.0542
g2465.t1,K03522,Bacteria | Thermodesulfobacteriota | Geobacter | gsu:GSU2796,26.1794
g18.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703620CA,96.2857
g1303.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C601080CA,64.3142
g1871.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,179.489
g3734.t1,K22382,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703240WA,42.743
g3830.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR05960WA,95.1301
g3681.t1,K03723,Bacteria | Enterobacteria | Salmonella | stm:STM1216,28.4906
g7357.t1,K21156,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603580WA,51.2174
g4525.t1,K03844,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602270CA,166.392
g6124.t1,K22023,Animals | Mammals | Artiodactyla | bta:100850574,36.5798
g1029.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C304410CA,116.701
g7144.t1,K18278,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR09290WA,603.594
g1943.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C110350CA,192.2
g5041.t1,K11229,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702990WA,57.3806
g1186.t1,None,Animals | Insects | Coleoptera | tca:656932,29.6462
g7343.t1,None,Viruses | Viruses | vg | vg:31050512,27.335
g7181.t1,K07090,Bacteria | other Gammaproteobacteria | Acinetobacter | acb:A1S_1782,30.8018
g2929.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505200CA,37.3502
g5867.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C701940CA,42.743
g963.t1,K00782,Bacteria | Actinomycetota | Rhodococcus | rha:RHA1_ro03481,29.261
g1803.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C704000WA,63.5438
g7716.t1,K20131,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602630CA,58.5362
g2586.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C105790WA,88.9669
g777.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703080WA,33.113
g6127.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,99.7525
g2236.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205180WA,91.2781
g1772.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C210000CA,90.8929
g971.t1,K20521,Fungi | Ascomycetes | Eurotiomycetes | ani:ANIA_05981,35.8094
g1300.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,194.126
g4840.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400290CA,457.603
g4549.t1,K19791,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600460CA,55.0694
g6762.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302640CA,442.58
