NR_query,NR_subject,NR_taxon,NR_bitscore,NR_evalue
g6745.t1,ref|XP_066829246.1|,Lodderomyces beijingensis,69.7,1.58e-12
g4576.t1,gb|EDK46926.1|,Lodderomyces elongisporus NRRL YB-4239,72.4,3.94e-12
g4504.t1,ref|XP_710133.2|,Candida albicans SC5314,53.5,7.30e-06
g781.t1,gb|MFA3599908.1|,Acinetobacter baumannii,71.6,2.03e-11
g3448.t1,ref|XP_051617832.1|,Candida jiufengensis,97.8,5.32e-21
g6978.t1,gb|KAL6453447.1|,Candida maltosa Xu316,58.5,1.33e-07
g7314.t1,ref|XP_049265796.1|,Candida,213.0,1.42e-57
g6791.t1,gb|KAL5270374.1|,Mnemiopsis leidyi,88.2,1.54e-13
g4287.t1,ref|XP_002420313.1|,Candida dubliniensis CD36,96.3,1.08e-21
g3959.t1,ref|XP_051620315.1|,Candida jiufengensis,89.0,1.55e-16
g7869.t1,ref|XP_049264627.1|,Candida,326.0,1.16e-108
g5998.t1,ref|XP_002420938.1|,Candida dubliniensis CD36,62.4,7.94e-09
g79.t1,ref|XP_064761858.1|,Scheffersomyces coipomensis,558.0,0.0
g3219.t1,gb|EMG45435.1|,Candida maltosa Xu316,91.3,2.63e-19
g5925.t1,gb|KAL6452936.1|,Candida maltosa Xu316,57.0,2.87e-08
g4328.t1,ref|XP_049179324.1|,Candida oxycetoniae,63.2,8.55e-09
g3463.t1,gb|EMG48061.1|,Candida maltosa Xu316,58.2,6.27e-07
g6758.t1,ref|XP_002419191.1|,Candida dubliniensis CD36,120.0,1.67e-29
g8233.t1,ref|XP_049178739.1|,Candida oxycetoniae,84.3,1.95e-14
g6478.t2,gb|EMG50216.1|,Candida maltosa Xu316,67.4,1.35e-09
g1115.t1,gb|RCK67148.1|,Candida viswanathii,122.0,1.38e-29
g3626.t1,gb|KAL6451598.1|,Candida maltosa Xu316,68.9,3.99e-11
g2940.t1,gb|RCK65511.1|,Candida viswanathii,60.5,9.85e-08
g2968.t1,gb|EMG50256.1|,Candida maltosa Xu316,216.0,5.51e-56
g6179.t1,gb|KAK6892370.1|,Candida tropicalis,148.0,1.96e-33
g4818.t1,gb|RCK57511.1|,Candida viswanathii,60.1,1.03e-08
g2794.t1,ref|XP_064740026.1|,Scheffersomyces amazonensis,95.5,6.69e-20
g2271.t1,gb|RCK54975.1|,Candida viswanathii,119.0,9.03e-28
g5108.t1,ref|XP_049180440.1|,Candida oxycetoniae,94.4,8.39e-21
g6896.t1,gb|EMG46438.1|,Candida maltosa Xu316,204.0,2.71e-56
g8147.t1,ref|XP_003866333.1|,Candida orthopsilosis Co 90-125,225.0,2.18e-70
g7441.t1,ref|XP_049262253.1|,Candida,200.0,6.57e-55
g4942.t1,ref|XP_002421648.1|,Candida dubliniensis CD36,119.0,1.60e-28
g5205.t1,gb|RLV91093.1|,Spathaspora sp. JA1,73.2,1.92e-12
g4969.t1,gb|EMG45719.1|,Candida maltosa Xu316,62.8,5.89e-09
g7462.t1,gb|KAL6451598.1|,Candida maltosa Xu316,67.0,2.38e-10
g6195.t1,ref|XP_049179272.1|,Candida oxycetoniae,118.0,2.99e-29
g3182.t1,ref|XP_051672533.1|,Candida margitis,63.9,1.78e-09
g3971.t1,ref|XP_049180770.1|,Candida oxycetoniae,369.0,1.69e-117
g4988.t1,gb|KAK6884886.1|,Candida tropicalis,159.0,4.40e-44
g521.t1,emb|CAI5979767.1|,Closterium sp. NIES-64,174.0,5.93e-46
g6044.t1,ref|XP_049265871.1|,Candida,142.0,2.74e-32
g2599.t1,gb|RCK56158.1|,Candida viswanathii,89.4,1.50e-17
g7980.t1,gb|EMG50157.1|,Candida maltosa Xu316,167.0,1.21e-48
g574.t1,emb|CAD1813690.1|,Candida parapsilosis,56.2,5.74e-07
g4369.t1,ref|XP_066013796.1|,Yamadazyma tenuis,91.7,7.80e-20
g6924.t1,gb|KGR05037.1|,Candida albicans P57072,60.5,1.94e-06
g2578.t1,ref|XP_049182787.1|,Candida oxycetoniae,278.0,6.34e-76
g2102.t1,gb|RCK67607.1|,Candida viswanathii,130.0,7.86e-33
g60.t1,gb|KAK6890541.1|,Candida tropicalis,108.0,3.53e-27
g7168.t1,gb|RCK66101.1|,Candida viswanathii,87.4,1.60e-14
g5134.t1,ref|XP_064774947.1|,Scheffersomyces xylosifermentans,85.5,1.13e-16
g5813.t1,gb|KHC33059.1|,Candida albicans P76067,134.0,1.11e-33
g6956.t1,ref|XP_002545654.1|,Candida tropicalis MYA-3404,397.0,2.17e-125
g3826.t1,gb|EMG50142.1|,Candida maltosa Xu316,104.0,8.86e-19
g1030.t1,gb|EMG50521.1|,Candida maltosa Xu316,138.0,3.01e-34
g1370.t1,gb|RLP65638.1|,Candida albicans Ca529L,60.1,3.83e-07
g8115.t1,gb|RCK66411.1|,Candida viswanathii,114.0,3.58e-27
g7025.t1,gb|EMG50256.1|,Candida maltosa Xu316,67.8,5.48e-08
g7456.t1,gb|KGR11267.1|,Candida albicans P37037,177.0,1.71e-46
g4550.t1,gb|EMG47722.1|,Candida maltosa Xu316,57.4,8.30e-07
g616.t1,gb|EMG48992.1|,Candida maltosa Xu316,69.3,1.22e-09
g3582.t1,ref|XP_049179324.1|,Candida oxycetoniae,63.2,7.91e-09
g7125.t1,gb|KAL6449814.1|,Candida maltosa Xu316,101.0,2.42e-19
g7223.t1,gb|KAL6449813.1|,Candida maltosa Xu316,86.3,3.31e-14
g6828.t1,ref|XP_064760616.1|,Scheffersomyces coipomensis,495.0,2.98e-173
g3637.t1,ref|XP_051609539.1|,Candida theae,144.0,6.63e-37
g8012.t1,gb|KGU25857.1|,Candida albicans P57055,108.0,2.65e-24
g4584.t1,gb|RLV90878.1|,Spathaspora sp. JA1,72.8,2.83e-12
g7709.t1,ref|XP_019330938.1|,Candida albicans SC5314,71.6,1.60e-14
g1303.t1,ref|XP_049265895.1|,Candida,300.0,8.44e-89
g3180.t1,gb|KAG2732875.1|,Scheffersomyces stipitis,81.6,2.39e-13
g5540.t1,ref|XP_001525601.2|,Lodderomyces elongisporus,57.4,6.98e-06
g4958.t1,gb|EMG45886.1|,Candida maltosa Xu316,59.3,1.52e-08
g7088.t1,gb|RCK55141.1|,Candida viswanathii,158.0,1.87e-41
g576.t1,gb|KAL6450476.1|,Candida maltosa Xu316,111.0,3.37e-24
g2619.t1,emb|CAI5760463.1|,Candida verbasci,126.0,4.19e-31
g3830.t1,ref|XP_019331092.1|,Candida albicans SC5314,103.0,2.64e-26
g523.t1,ref|XP_051617209.1|,Candida pseudojiufengensis,82.8,5.02e-14
g3246.t1,gb|RCK54999.1|,Candida viswanathii,55.8,1.77e-06
g7357.t1,gb|KAK6897689.1|,Candida tropicalis,54.7,4.05e-06
g4886.t1,ref|XP_049179489.1|,Candida oxycetoniae,65.5,3.00e-09
g2845.t1,gb|KAL6452752.1|,Candida maltosa Xu316,88.6,1.72e-20
g1029.t1,gb|EMG50521.1|,Candida maltosa Xu316,139.0,1.85e-34
g3127.t1,ref|XP_001385008.2|,Scheffersomyces stipitis CBS 6054,99.4,7.97e-19
g2969.t1,ref|XP_043047237.1|,Scheffersomyces spartinae,101.0,4.03e-22
g5252.t1,gb|RCK66411.1|,Candida viswanathii,120.0,2.37e-29
g1943.t1,gb|KAI5903947.1|,Candida parapsilosis,223.0,7.14e-58
g2623.t1,gb|RCK64862.1|,Candida viswanathii,87.0,1.06e-17
g2739.t1,ref|XP_003866169.1|,Candida orthopsilosis Co 90-125,246.0,4.28e-64
g4641.t1,gb|RLV90868.1|,Spathaspora sp. JA1,83.6,4.25e-16
g7181.t1,ref|XP_051613455.1|,Candida pseudojiufengensis,58.9,1.87e-07
g7829.t1,ref|XP_036667127.1|,Candida parapsilosis,69.3,1.37e-09
g4721.t1,emb|CAI5760795.1|,Candida verbasci,70.1,2.91e-11
g2692.t1,ref|XP_064737613.1|,Scheffersomyces amazonensis,80.1,1.59e-16
g963.t1,gb|KAK6875297.1|,Candida tropicalis,94.4,7.22e-20
g1175.t1,gb|EMG45936.1|,Candida maltosa Xu316,63.9,3.50e-08
g1685.t1,emb|CAI5979767.1|,Closterium sp. NIES-64,86.3,1.20e-16
g4745.t1,gb|EMG50547.1|,Candida maltosa Xu316,70.5,1.51e-10
g2092.t1,gb|RCK55223.1|,Candida viswanathii,204.0,3.97e-61
g1803.t1,ref|XP_001523624.2|,Lodderomyces elongisporus,71.6,1.92e-12
g4114.t1,gb|KAL6454632.1|,Candida maltosa Xu316,157.0,9.82e-44
g3457.t1,ref|XP_066831828.1|,Lodderomyces beijingensis,95.5,2.87e-20
g4515.t1,ref|XP_049179552.1|,Candida oxycetoniae,108.0,5.24e-25
g6127.t1,ref|XP_003870797.1|,Candida orthopsilosis Co 90-125,114.0,2.00e-25
g4973.t1,ref|XP_037789917.1|,Penaeus monodon,69.3,9.16e-09
g1772.t1,gb|KAF6063946.1|,Candida albicans,96.3,1.77e-21
g7190.t2,ref|XP_049263485.1|,Candida,80.1,6.66e-13
g223.t1,ref|XP_067546581.1|,Candida metapsilosis,145.0,1.53e-39
g6762.t1,ref|XP_051612079.1|,Candida pseudojiufengensis,842.0,0.0
g199.t1,ref|XP_049262577.1|,Candida,114.0,2.75e-27
g8005.t1,ref|XP_002420892.1|,Candida dubliniensis CD36,101.0,5.00e-20
g1493.t1,ref|XP_049264411.1|,Candida,73.9,1.21e-12
g2910.t1,gb|KAI5911824.1|,Candida parapsilosis,62.8,3.00e-09
g1317.t1,emb|CAI5758596.1|,Candida verbasci,71.2,5.51e-11
g1116.t1,gb|RCK67148.1|,Candida viswanathii,123.0,6.77e-30
g6431.t1,gb|EMG45807.1|,Candida maltosa Xu316,186.0,4.14e-51
g6440.t1,ref|XP_049265215.1|,Candida,103.0,4.84e-24
g6936.t1,gb|KAG2734777.1|,Scheffersomyces stipitis,76.6,2.93e-15
g3891.t1,gb|EMG48757.1|,Candida maltosa Xu316,94.7,1.19e-22
g2986.t1,gb|EMG46458.1|,Candida maltosa Xu316,141.0,1.56e-33
g560.t1,gb|KAK6873890.1|,Candida tropicalis,92.4,1.83e-19
g98.t1,ref|WP_172323239.1|,Bacteroidales,57.4,6.90e-06
g4817.t1,emb|CAL1181181.1|,Candida parapsilosis,72.4,4.47e-12
g2644.t1,gb|EMG46290.1|,Candida maltosa Xu316,63.2,5.62e-09
g2915.t1,ref|XP_051622459.1|,Candida jiufengensis,62.8,1.89e-08
g1779.t1,gb|KAL6449872.1|,Candida maltosa Xu316,90.9,5.43e-15
g345.t2,gb|KAL6449813.1|,Candida maltosa Xu316,86.3,4.06e-14
g2629.t1,ref|XP_049260813.1|,Candida,77.8,2.65e-13
g1237.t1,gb|KAL1578070.1|,Candida albicans,278.0,1.18e-73
g724.t1,emb|CAI5979767.1|,Closterium sp. NIES-64,135.0,8.65e-33
g3462.t1,ref|XP_066831828.1|,Lodderomyces beijingensis,95.5,2.87e-20
g760.t1,ref|XP_051620262.1|,Candida jiufengensis,211.0,8.99e-56
g7125.t2,gb|KAL6449814.1|,Candida maltosa Xu316,102.0,1.84e-19
g1497.t1,ref|XP_049264411.1|,Candida,73.9,1.21e-12
g849.t1,ref|XP_002417051.1|,Candida dubliniensis CD36,73.6,2.65e-13
g3227.t1,gb|KAK6893890.1|,Candida tropicalis,62.0,1.96e-08
g859.t1,gb|QRG39356.1|,Candidozyma auris,106.0,1.69e-27
g7565.t1,ref|XP_003868513.1|,Candida orthopsilosis Co 90-125,197.0,3.84e-49
g4505.t1,gb|EMG45962.1|,Candida maltosa Xu316,65.1,1.66e-09
g2174.t1,emb|CAI5756698.1|,Candida verbasci,102.0,1.96e-23
g6542.t1,gb|RLV90868.1|,Spathaspora sp. JA1,160.0,2.38e-43
g254.t1,gb|KAG4405896.1|,Candida tropicalis,96.7,3.30e-23
g1431.t1,gb|KGU14810.1|,Candida albicans P87,97.4,2.68e-24
g1152.t1,ref|XP_002550887.1|,Candida tropicalis MYA-3404,96.7,1.00e-19
g6043.t1,ref|XP_049265871.1|,Candida,149.0,4.75e-34
g2670.t1,gb|RCK65343.1|,Candida viswanathii,84.7,8.50e-17
g5297.t1,ref|XP_049266509.1|,Candida,71.6,8.71e-12
g615.t1,emb|CDN39810.1|,Streptococcus pneumoniae,85.9,5.64e-16
g365.t1,emb|CAI5760604.1|,Candida verbasci,175.0,1.38e-47
g4771.t1,gb|RLV90878.1|,Spathaspora sp. JA1,72.8,2.74e-12
g549.t1,gb|EMG47651.1|,Candida maltosa Xu316,114.0,5.26e-25
g3721.t1,gb|EMG45788.1|,Candida maltosa Xu316,88.6,1.04e-17
g3218.t1,gb|EMG45435.1|,Candida maltosa Xu316,89.4,1.50e-18
g7052.t1,emb|CAI5757407.1|,Candida verbasci,70.1,7.49e-12
g5994.t1,ref|XP_049262254.1|,Candida,56.2,1.57e-06
g7223.t2,gb|KAL6449813.1|,Candida maltosa Xu316,77.0,7.42e-12
g5889.t1,ref|XP_064774947.1|,Scheffersomyces xylosifermentans,85.5,1.13e-16
g115.t1,ref|XP_049261121.1|,Candida,62.4,5.42e-08
g6520.t1,ref|XP_019330677.1|,Candida albicans SC5314,74.3,2.14e-15
g2834.t1,ref|XP_043047237.1|,Scheffersomyces spartinae,87.0,5.83e-17
g4436.t1,ref|XP_001382431.2|,Scheffersomyces stipitis CBS 6054,74.3,7.78e-13
g2044.t1,gb|RCK67266.1|,Candida viswanathii,112.0,6.27e-25
g4569.t1,ref|XP_002420819.1|,Candida dubliniensis CD36,54.3,9.14e-06
g4577.t1,gb|EMG45719.1|,Candida maltosa Xu316,61.2,1.94e-08
g3363.t1,ref|XP_051620056.1|,Candida jiufengensis,83.6,9.78e-14
g2072.t1,ref|XP_049180124.1|,Candida oxycetoniae,101.0,2.25e-19
g7222.t1,gb|KAL6449814.1|,Candida maltosa Xu316,63.5,3.48e-07
g810.t1,ref|XP_049179690.1|,Candida oxycetoniae,110.0,1.41e-25
g3563.t1,ref|XP_064736288.1|,Scheffersomyces amazonensis,58.9,4.20e-08
g3102.t1,ref|XP_049260630.1|,Candida,113.0,6.67e-25
g909.t1,gb|KGQ95646.1|,Candida albicans P94015,119.0,1.07e-32
g6425.t1,gb|KAK6873643.1|,Candida tropicalis,124.0,2.08e-29
g7070.t1,ref|XP_002422165.1|,Candida dubliniensis CD36,95.1,6.31e-21
g327.t1,ref|XP_069837205.1|,Dendropsophus ebraccatus,73.2,6.21e-12
g3361.t1,ref|XP_003869641.1|,Candida orthopsilosis Co 90-125,108.0,8.52e-27
g8030.t1,ref|XP_051619742.1|,Candida jiufengensis,58.2,8.35e-07
g2954.t1,ref|XP_051617832.1|,Candida jiufengensis,217.0,2.42e-62
g2816.t1,emb|CAI5760568.1|,Candida verbasci,90.5,6.90e-18
g4368.t1,gb|KGU36292.1|,Candida albicans P75063,83.2,1.39e-16
g4663.t1,ref|XP_049179085.1|,Candida oxycetoniae,97.4,7.36e-21
g4254.t1,ref|XP_002421203.1|,Candida dubliniensis CD36,100.0,4.84e-22
g2935.t1,ref|XP_064763887.1|,Scheffersomyces coipomensis,140.0,1.04e-37
g5305.t1,ref|XP_002421014.1|,Candida dubliniensis CD36,75.9,2.57e-13
g7992.t1,ref|XP_064776116.1|,Scheffersomyces xylosifermentans,61.6,1.36e-08
g2936.t1,gb|KAK6873341.1|,Candida tropicalis,60.8,2.45e-08
g7574.t1,ref|XP_064773437.1|,Scheffersomyces xylosifermentans,67.8,1.26e-10
g3433.t1,gb|KAL6451141.1|,Candida maltosa Xu316,57.8,2.22e-07
g8229.t1,gb|RCK63115.1|,Candida viswanathii,53.5,1.26e-06
g6575.t1,ref|XP_002419691.1|,Candida dubliniensis CD36,57.4,1.89e-06
g1812.t1,ref|XP_020077282.1|,Hyphopichia burtonii NRRL Y-1933,63.9,2.24e-09
g1218.t1,gb|EMG50488.1|,Candida maltosa Xu316,121.0,1.56e-30
g2647.t1,gb|EMG46290.1|,Candida maltosa Xu316,63.9,3.55e-09
g1664.t1,ref|XP_064776116.1|,Scheffersomyces xylosifermentans,64.7,1.25e-09
g4426.t1,gb|RLV89685.1|,Spathaspora sp. JA1,124.0,4.61e-31
g5025.t1,gb|EMG45886.1|,Candida maltosa Xu316,59.3,1.52e-08
g7035.t1,gb|KAL6454860.1|,Candida maltosa Xu316,232.0,1.59e-68
g399.t1,ref|XP_001385099.2|,Scheffersomyces stipitis CBS 6054,183.0,2.25e-49
g2271.t2,gb|KAL6452361.1|,Candida maltosa Xu316,65.1,1.77e-09
g6961.t1,gb|RCK56653.1|,Candida viswanathii,79.7,5.93e-17
g6992.t1,gb|KAL6453447.1|,Candida maltosa Xu316,59.3,5.68e-08
g3387.t1,emb|CAI5758966.1|,Candida verbasci,75.1,4.76e-14
g2662.t1,gb|EMG50144.1|,Candida maltosa Xu316,64.3,1.66e-10
g4443.t1,gb|RCK57511.1|,Candida viswanathii,60.1,1.03e-08
g2139.t1,gb|EMG50936.1|,Candida maltosa Xu316,154.0,9.98e-38
g2013.t1,ref|XP_049264897.1|,Candida,87.4,1.36e-17
g6090.t2,gb|KAK6888446.1|,Candida tropicalis,429.0,2.78e-146
g322.t1,gb|MGH0126658.1|,Acipenser sinensis,104.0,1.18e-24
g2780.t1,ref|XP_049178394.1|,Candida oxycetoniae,92.4,6.89e-21
g3036.t1,ref|XP_049263966.1|,Candida,209.0,2.99e-56
g1136.t1,gb|EMG47922.1|,Candida maltosa Xu316,147.0,1.10e-37
g390.t1,gb|KAK6897689.1|,Candida tropicalis,54.7,4.05e-06
g7845.t1,ref|XP_003871256.1|,Candida orthopsilosis Co 90-125,100.0,1.44e-21
g5992.t1,ref|XP_064738461.1|,Scheffersomyces amazonensis,54.3,3.26e-06
g4843.t1,gb|KGU23297.1|,Candida albicans P57055,88.2,4.51e-17
g7483.t1,gb|RCK67359.1|,Candida viswanathii,58.2,3.37e-07
