NR_query,NR_subject,NR_taxon,NR_bitscore,evalue
g723.t1,gb|KAL7665916.1|,Candida,74.7,5.67e-13
g724.t1,emb|CAI5979767.1|,Closterium sp. NIES-64,135.0,8.65e-33
g2766.t1,ref|XP_049265401.1|,Candida,130.0,4.40e-32
g2723.t1,ref|XP_019330661.1|,Candida albicans SC5314,90.9,1.78e-22
g3462.t1,ref|XP_066831828.1|,Lodderomyces beijingensis,95.5,2.87e-20
g7125.t2,gb|KAL6449814.1|,Candida maltosa Xu316,102.0,1.84e-19
g1195.t1,ref|XP_066831919.1|,Lodderomyces beijingensis,255.0,3.01e-80
g7565.t1,ref|XP_003868513.1|,Candida orthopsilosis Co 90-125,197.0,3.84e-49
g6542.t1,gb|RLV90868.1|,Spathaspora sp. JA1,160.0,2.38e-43
g1674.t1,gb|KAF6070885.1|,Candida albicans,170.0,4.66e-48
g365.t1,emb|CAI5760604.1|,Candida verbasci,175.0,1.38e-47
g3692.t1,gb|KGQ92596.1|,Candida albicans GC75,149.0,5.80e-41
g5994.t1,ref|XP_049262254.1|,Candida,56.2,1.57e-06
g115.t1,ref|XP_049261121.1|,Candida,62.4,5.42e-08
g4569.t1,ref|XP_002420819.1|,Candida dubliniensis CD36,54.3,9.14e-06
g3363.t1,ref|XP_051620056.1|,Candida jiufengensis,83.6,9.78e-14
g2072.t1,ref|XP_049180124.1|,Candida oxycetoniae,101.0,2.25e-19
g7222.t1,gb|KAL6449814.1|,Candida maltosa Xu316,63.5,3.48e-07
g3102.t1,ref|XP_049260630.1|,Candida,113.0,6.67e-25
g8030.t1,ref|XP_051619742.1|,Candida jiufengensis,58.2,8.35e-07
g2954.t1,ref|XP_051617832.1|,Candida jiufengensis,217.0,2.42e-62
g6812.t1,gb|RCK64416.1|,Candida viswanathii,772.0,0.0
g7788.t1,ref|XP_049178672.1|,Candida oxycetoniae,58.5,5.66e-07
g4663.t1,ref|XP_049179085.1|,Candida oxycetoniae,97.4,7.36e-21
g4254.t1,ref|XP_002421203.1|,Candida dubliniensis CD36,100.0,4.84e-22
g7992.t1,ref|XP_064776116.1|,Scheffersomyces xylosifermentans,61.6,1.36e-08
g2936.t1,gb|KAK6873341.1|,Candida tropicalis,60.8,2.45e-08
g1484.t1,gb|EMG49077.1|,Candida maltosa Xu316,119.0,7.10e-29
g1812.t1,ref|XP_020077282.1|,Hyphopichia burtonii NRRL Y-1933,63.9,2.24e-09
g2647.t1,gb|EMG46290.1|,Candida maltosa Xu316,63.9,3.55e-09
g4652.t1,ref|XP_002545274.1|,Candida tropicalis MYA-3404,159.0,5.73e-45
g1127.t1,gb|KAK6892306.1|,Candida tropicalis,147.0,1.72e-37
g5025.t1,gb|EMG45886.1|,Candida maltosa Xu316,59.3,1.52e-08
g7035.t1,gb|KAL6454860.1|,Candida maltosa Xu316,232.0,1.59e-68
g399.t1,ref|XP_001385099.2|,Scheffersomyces stipitis CBS 6054,183.0,2.25e-49
g6961.t1,gb|RCK56653.1|,Candida viswanathii,79.7,5.93e-17
g2662.t1,gb|EMG50144.1|,Candida maltosa Xu316,64.3,1.66e-10
g4649.t1,gb|KAK6880265.1|,Candida tropicalis,142.0,1.71e-38
g2508.t1,gb|KAK6873928.1|,Candida tropicalis,393.0,3.48e-116
g2303.t1,gb|KAG4408534.1|,Candida tropicalis,87.4,7.22e-20
g8100.t1,ref|XP_064774541.1|,Scheffersomyces xylosifermentans,184.0,1.44e-53
g322.t1,gb|MGH0126658.1|,Acipenser sinensis,104.0,1.18e-24
g3036.t1,ref|XP_049263966.1|,Candida,209.0,2.99e-56
g3456.t1,ref|XP_051607089.1|,Candida theae,96.3,1.12e-20
g6716.t1,gb|KAL6453049.1|,Candida maltosa Xu316,62.0,2.87e-08
g1417.t1,ref|XP_003867835.1|,Candida orthopsilosis Co 90-125,417.0,1.38e-142
g3730.t1,gb|RCK57914.1|,Candida viswanathii,70.1,2.85e-11
g6591.t1,ref|XP_020063533.1|,Suhomyces tanzawaensis NRRL Y-17324,99.8,1.66e-25
g7029.t2,ref|XP_051674018.1|,Candida margitis,253.0,2.41e-77
g5165.t1,gb|KAL6451884.1|,Candida maltosa Xu316,55.5,5.62e-07
g3214.t1,gb|KAL6453984.1|,Candida maltosa Xu316,114.0,7.93e-27
g1638.t1,ref|XP_001523670.2|,Lodderomyces elongisporus,80.1,2.53e-13
g2241.t1,emb|CAA7389409.1|,Spirodela intermedia,58.9,1.79e-07
g4100.t1,ref|XP_069156436.1|,Procambarus clarkii,77.0,2.44e-11
g6504.t1,emb|CAI5961232.1|,Closterium sp. NIES-65,198.0,9.57e-52
g3777.t1,emb|CAI5759684.1|,Candida verbasci,84.3,1.05e-15
g7194.t1,ref|XP_067549948.1|,Candida metapsilosis,232.0,1.59e-65
g5834.t1,ref|XP_049179085.1|,Candida oxycetoniae,97.4,7.36e-21
g4123.t1,gb|KAK6885788.1|,Candida tropicalis,138.0,2.36e-28
g4504.t1,ref|XP_710133.2|,Candida albicans SC5314,53.5,7.30e-06
g7368.t2,ref|XP_051674018.1|,Candida margitis,255.0,4.01e-78
g6791.t1,gb|KAL5270374.1|,Mnemiopsis leidyi,88.2,1.54e-13
g3219.t1,gb|EMG45435.1|,Candida maltosa Xu316,91.3,2.63e-19
g3463.t1,gb|EMG48061.1|,Candida maltosa Xu316,58.2,6.27e-07
g8233.t1,ref|XP_049178739.1|,Candida oxycetoniae,84.3,1.95e-14
g6478.t2,gb|EMG50216.1|,Candida maltosa Xu316,67.4,1.35e-09
g344.t2,emb|CAI5979767.1|,Closterium sp. NIES-64,556.0,5.91e-166
g2271.t1,gb|RCK54975.1|,Candida viswanathii,119.0,9.03e-28
g2289.t1,gb|EMG50684.1|,Candida maltosa Xu316,946.0,0.0
g5108.t1,ref|XP_049180440.1|,Candida oxycetoniae,94.4,8.39e-21
g8147.t1,ref|XP_003866333.1|,Candida orthopsilosis Co 90-125,225.0,2.18e-70
g712.t1,ref|XP_002548764.1|,Candida tropicalis MYA-3404,166.0,1.09e-47
g5241.t1,emb|CAI5759432.1|,Candida verbasci,156.0,1.16e-41
g1515.t1,emb|SCU82807.1|,Lachancea meyersii CBS 8951,78.2,1.51e-13
g5909.t1,emb|CAI5755527.1|,Candida verbasci,122.0,3.34e-33
g1310.t1,gb|RCK58102.1|,Candida viswanathii,62.0,5.16e-08
g6390.t1,ref|XP_020065654.1|,Suhomyces tanzawaensis NRRL Y-17324,89.0,1.28e-20
g3272.t1,ref|XP_002547696.1|,Candida tropicalis MYA-3404,357.0,2.97e-119
g574.t1,emb|CAD1813690.1|,Candida parapsilosis,56.2,5.74e-07
g2671.t1,gb|RCK59213.1|,Candida viswanathii,141.0,5.84e-36
g1030.t1,gb|EMG50521.1|,Candida maltosa Xu316,138.0,3.01e-34
g3878.t1,gb|KHC45244.1|,Candida albicans P60002,119.0,5.10e-26
g7456.t1,gb|KGR11267.1|,Candida albicans P37037,177.0,1.71e-46
g18.t1,gb|RCK66411.1|,Candida viswanathii,111.0,1.02e-23
g1303.t1,ref|XP_049265895.1|,Candida,300.0,8.44e-89
g1871.t1,ref|XP_002545274.1|,Candida tropicalis MYA-3404,212.0,3.21e-65
g3830.t1,ref|XP_019331092.1|,Candida albicans SC5314,103.0,2.64e-26
g7357.t1,gb|KAK6897689.1|,Candida tropicalis,54.7,4.05e-06
g4525.t1,gb|KAF6070885.1|,Candida albicans,176.0,4.25e-50
g1029.t1,gb|EMG50521.1|,Candida maltosa Xu316,139.0,1.85e-34
g7144.t1,ref|XP_051611038.1|,Candida theae,637.0,0.0
g1943.t1,gb|KAI5903947.1|,Candida parapsilosis,223.0,7.14e-58
g7181.t1,ref|XP_051613455.1|,Candida pseudojiufengensis,58.9,1.87e-07
g963.t1,gb|KAK6875297.1|,Candida tropicalis,94.4,7.22e-20
g1803.t1,ref|XP_001523624.2|,Lodderomyces elongisporus,71.6,1.92e-12
g2586.t1,ref|XP_019330655.1|,Candida albicans SC5314,103.0,9.03e-27
g6127.t1,ref|XP_003870797.1|,Candida orthopsilosis Co 90-125,114.0,2.00e-25
g2236.t1,ref|XP_002619738.2|,Clavispora lusitaniae,91.7,3.88e-22
g1772.t1,gb|KAF6063946.1|,Candida albicans,96.3,1.77e-21
g1300.t1,gb|KHC34412.1|,Candida albicans Ca6,199.0,1.33e-55
g4840.t1,ref|XP_066831919.1|,Lodderomyces beijingensis,460.0,3.55e-158
g4549.t1,gb|EMG45772.1|,Candida maltosa Xu316,60.8,1.23e-09
g6762.t1,ref|XP_051612079.1|,Candida pseudojiufengensis,842.0,0.0
g1317.t1,emb|CAI5758596.1|,Candida verbasci,71.2,5.51e-11
g2474.t1,ref|XP_049262271.1|,Candida,125.0,4.23e-28
g6431.t1,gb|EMG45807.1|,Candida maltosa Xu316,186.0,4.14e-51
g4598.t1,ref|XP_051607788.1|,Candida theae,310.0,2.45e-99
g4817.t1,emb|CAL1181181.1|,Candida parapsilosis,72.4,4.47e-12
g2915.t1,ref|XP_051622459.1|,Candida jiufengensis,62.8,1.89e-08
g2609.t1,ref|XP_002420751.1|,Candida dubliniensis CD36,154.0,1.23e-40
g1119.t1,emb|CAI5759635.1|,Candida verbasci,60.1,3.47e-07
g849.t1,ref|XP_002417051.1|,Candida dubliniensis CD36,73.6,2.65e-13
g7682.t1,gb|KAG8202488.1|,Candida africana,59.7,2.77e-08
g859.t1,gb|QRG39356.1|,Candidozyma auris,106.0,1.69e-27
g4505.t1,gb|EMG45962.1|,Candida maltosa Xu316,65.1,1.66e-09
g6043.t1,ref|XP_049265871.1|,Candida,149.0,4.75e-34
g615.t1,emb|CDN39810.1|,Streptococcus pneumoniae,85.9,5.64e-16
g4771.t1,gb|RLV90878.1|,Spathaspora sp. JA1,72.8,2.74e-12
g549.t1,gb|EMG47651.1|,Candida maltosa Xu316,114.0,5.26e-25
g3218.t1,gb|EMG45435.1|,Candida maltosa Xu316,89.4,1.50e-18
g3716.t1,ref|XP_719809.1|,Candida albicans SC5314,462.0,5.60e-161
g2834.t1,ref|XP_043047237.1|,Scheffersomyces spartinae,87.0,5.83e-17
g67.t1,ref|XP_064776406.1|,Scheffersomyces xylosifermentans,57.4,1.56e-06
g810.t1,ref|XP_049179690.1|,Candida oxycetoniae,110.0,1.41e-25
g3563.t1,ref|XP_064736288.1|,Scheffersomyces amazonensis,58.9,4.20e-08
g7070.t1,ref|XP_002422165.1|,Candida dubliniensis CD36,95.1,6.31e-21
g4800.t1,ref|XP_067547141.1|,Candida metapsilosis,126.0,8.77e-32
g3361.t1,ref|XP_003869641.1|,Candida orthopsilosis Co 90-125,108.0,8.52e-27
g2816.t1,emb|CAI5760568.1|,Candida verbasci,90.5,6.90e-18
g4368.t1,gb|KGU36292.1|,Candida albicans P75063,83.2,1.39e-16
g5305.t1,ref|XP_002421014.1|,Candida dubliniensis CD36,75.9,2.57e-13
g7574.t1,ref|XP_064773437.1|,Scheffersomyces xylosifermentans,67.8,1.26e-10
g3433.t1,gb|KAL6451141.1|,Candida maltosa Xu316,57.8,2.22e-07
g6288.t1,ref|XP_047104671.1|,Schistocerca piceifrons,216.0,4.43e-61
g2236.t2,ref|XP_002619738.2|,Clavispora lusitaniae,102.0,2.22e-26
g4426.t1,gb|RLV89685.1|,Spathaspora sp. JA1,124.0,4.61e-31
g6630.t1,dbj|BFZ22564.1|,Bradybaena similaris,114.0,9.57e-28
g4443.t1,gb|RCK57511.1|,Candida viswanathii,60.1,1.03e-08
g7483.t1,gb|RCK67359.1|,Candida viswanathii,58.2,3.37e-07
g4339.t1,gb|EMG50144.1|,Candida maltosa Xu316,72.8,1.10e-13
g7399.t1,gb|MFN3178767.1|,Thermus sp.,63.2,1.66e-07
g768.t1,dbj|GME83683.1|,Ambrosiozyma monospora,196.0,1.11e-55
g3205.t1,dbj|BGR34489.1|,Thiomonas islandica,62.4,2.56e-10
g1336.t1,emb|CAK7913114.1|,Candida,106.0,3.84e-23
g991.t1,ref|XP_002420829.1|,Candida dubliniensis CD36,60.1,1.13e-06
g7907.t1,gb|RCK65582.1|,Candida viswanathii,87.0,9.99e-15
g7482.t1,ref|XP_002547517.1|,Candida tropicalis MYA-3404,155.0,2.78e-41
g7069.t1,gb|KGU18125.1|,Candida albicans P34048,65.1,1.81e-09
g7050.t1,gb|RCK63404.1|,Candida viswanathii,111.0,9.32e-27
g1813.t1,ref|XP_020077282.1|,Hyphopichia burtonii NRRL Y-1933,64.3,1.48e-09
g1008.t1,gb|TNN25780.1|,Liparis tanakae,175.0,2.20e-51
g5993.t1,ref|XP_002420938.1|,Candida dubliniensis CD36,62.8,6.91e-09
g6990.t1,gb|RCK64871.1|,Candida viswanathii,296.0,3.43e-95
g3639.t1,gb|RCK54999.1|,Candida viswanathii,55.8,1.77e-06
g3011.t1,emb|CAI5759899.1|,Candida verbasci,171.0,1.12e-51
g7156.t2,ref|XP_049263485.1|,Candida,74.7,1.48e-11
g6745.t1,ref|XP_066829246.1|,Lodderomyces beijingensis,69.7,1.58e-12
g6978.t1,gb|KAL6453447.1|,Candida maltosa Xu316,58.5,1.33e-07
g7869.t1,ref|XP_049264627.1|,Candida,326.0,1.16e-108
g5998.t1,ref|XP_002420938.1|,Candida dubliniensis CD36,62.4,7.94e-09
g6341.t1,emb|CAI5759357.1|,Candida verbasci,978.0,0.0
g4328.t1,ref|XP_049179324.1|,Candida oxycetoniae,63.2,8.55e-09
g3626.t1,gb|KAL6451598.1|,Candida maltosa Xu316,68.9,3.99e-11
g2940.t1,gb|RCK65511.1|,Candida viswanathii,60.5,9.85e-08
g2428.t1,gb|KAL6450561.1|,Candida maltosa Xu316,127.0,2.85e-36
g6179.t1,gb|KAK6892370.1|,Candida tropicalis,148.0,1.96e-33
g4818.t1,gb|RCK57511.1|,Candida viswanathii,60.1,1.03e-08
g7680.t1,gb|EMG47897.1|,Candida maltosa Xu316,242.0,4.36e-71
g6896.t1,gb|EMG46438.1|,Candida maltosa Xu316,204.0,2.71e-56
g2975.t1,gb|KAG4409418.1|,Candida tropicalis,1517.0,0.0
g4942.t1,ref|XP_002421648.1|,Candida dubliniensis CD36,119.0,1.60e-28
g5271.t1,ref|XP_049265390.1|,Candida,67.4,3.21e-11
g6195.t1,ref|XP_049179272.1|,Candida oxycetoniae,118.0,2.99e-29
g3971.t1,ref|XP_049180770.1|,Candida oxycetoniae,369.0,1.69e-117
g58.t1,emb|CDN39810.1|,Streptococcus pneumoniae,87.0,1.70e-16
g6044.t1,ref|XP_049265871.1|,Candida,142.0,2.74e-32
g7980.t1,gb|EMG50157.1|,Candida maltosa Xu316,167.0,1.21e-48
g6322.t1,gb|RLV90696.1|,Spathaspora sp. JA1,196.0,4.00e-58
g7168.t1,gb|RCK66101.1|,Candida viswanathii,87.4,1.60e-14
g7130.t1,gb|RCK66108.1|,Candida viswanathii,694.0,0.0
g6956.t1,ref|XP_002545654.1|,Candida tropicalis MYA-3404,397.0,2.17e-125
g8115.t1,gb|RCK66411.1|,Candida viswanathii,114.0,3.58e-27
g2765.t1,gb|EDK47355.1|,Lodderomyces elongisporus NRRL YB-4239,100.0,6.23e-24
g92.t1,gb|NER33066.1|,Oscillatoria sp. SIO1A7,169.0,1.87e-40
g616.t1,gb|EMG48992.1|,Candida maltosa Xu316,69.3,1.22e-09
g3582.t1,ref|XP_049179324.1|,Candida oxycetoniae,63.2,7.91e-09
g100.t1,gb|KAK6885667.1|,Candida tropicalis,290.0,1.10e-85
g6828.t1,ref|XP_064760616.1|,Scheffersomyces coipomensis,495.0,2.98e-173
g867.t1,ref|XP_002550475.1|,Candida tropicalis MYA-3404,106.0,6.11e-24
g4584.t1,gb|RLV90878.1|,Spathaspora sp. JA1,72.8,2.83e-12
g3180.t1,gb|KAG2732875.1|,Scheffersomyces stipitis,81.6,2.39e-13
g2475.t1,emb|CUM51845.1|,Debaryomyces tyrocola,84.7,5.97e-15
g7088.t1,gb|RCK55141.1|,Candida viswanathii,158.0,1.87e-41
g576.t1,gb|KAL6450476.1|,Candida maltosa Xu316,111.0,3.37e-24
g5046.t1,gb|KAK6880265.1|,Candida tropicalis,142.0,1.71e-38
g3127.t1,ref|XP_001385008.2|,Scheffersomyces stipitis CBS 6054,99.4,7.97e-19
g2969.t1,ref|XP_043047237.1|,Scheffersomyces spartinae,101.0,4.03e-22
g2623.t1,gb|RCK64862.1|,Candida viswanathii,87.0,1.06e-17
g5385.t1,gb|KAG4409342.1|,Candida tropicalis,144.0,3.84e-37
g4721.t1,emb|CAI5760795.1|,Candida verbasci,70.1,2.91e-11
g4745.t1,gb|EMG50547.1|,Candida maltosa Xu316,70.5,1.51e-10
g8011.t1,ref|XP_067548645.1|,Candida metapsilosis,68.9,2.04e-09
g8041.t1,ref|XP_002545274.1|,Candida tropicalis MYA-3404,482.0,5.54e-169
g199.t1,ref|XP_049262577.1|,Candida,114.0,2.75e-27
g1493.t1,ref|XP_049264411.1|,Candida,73.9,1.21e-12
g2910.t1,gb|KAI5911824.1|,Candida parapsilosis,62.8,3.00e-09
g1116.t1,gb|RCK67148.1|,Candida viswanathii,123.0,6.77e-30
g5268.t1,ref|XP_002545274.1|,Candida tropicalis MYA-3404,168.0,1.30e-48
g6440.t1,ref|XP_049265215.1|,Candida,103.0,4.84e-24
g6936.t1,gb|KAG2734777.1|,Scheffersomyces stipitis,76.6,2.93e-15
g7801.t1,ref|XP_002546284.1|,Candida tropicalis MYA-3404,352.0,1.10e-114
g1613.t2,ref|XP_002418984.1|,Candida dubliniensis CD36,223.0,8.73e-68
g812.t1,gb|RCK59213.1|,Candida viswanathii,219.0,3.40e-62
g2629.t1,ref|XP_049260813.1|,Candida,77.8,2.65e-13
g3721.t1,gb|EMG45788.1|,Candida maltosa Xu316,88.6,1.04e-17
g6520.t1,ref|XP_019330677.1|,Candida albicans SC5314,74.3,2.14e-15
g4436.t1,ref|XP_001382431.2|,Scheffersomyces stipitis CBS 6054,74.3,7.78e-13
g5363.t1,ref|XP_051622343.1|,Candida jiufengensis,93.6,1.24e-15
g909.t1,gb|KGQ95646.1|,Candida albicans P94015,119.0,1.07e-32
g311.t1,gb|KAG4409342.1|,Candida tropicalis,142.0,3.06e-36
g327.t1,ref|XP_069837205.1|,Dendropsophus ebraccatus,73.2,6.21e-12
g4887.t1,ref|XP_049263627.1|,Candida,731.0,0.0
g2935.t1,ref|XP_064763887.1|,Scheffersomyces coipomensis,140.0,1.04e-37
g1689.t1,ref|XP_001383973.1|,Scheffersomyces stipitis CBS 6054,180.0,1.21e-54
g2298.t1,ref|XP_020074143.1|,Hyphopichia burtonii NRRL Y-1933,87.8,1.08e-20
g813.t1,gb|RCK59213.1|,Candida viswanathii,216.0,2.72e-61
g6752.t1,ref|XP_049181373.1|,Candida oxycetoniae,243.0,8.86e-77
g2271.t2,gb|KAL6452361.1|,Candida maltosa Xu316,65.1,1.77e-09
g6992.t1,gb|KAL6453447.1|,Candida maltosa Xu316,59.3,5.68e-08
g1814.t1,ref|XP_002419656.1|,Candida dubliniensis CD36,70.1,4.31e-11
g6090.t2,gb|KAK6888446.1|,Candida tropicalis,429.0,2.78e-146
g3534.t1,gb|KAG4405095.1|,Candida tropicalis,131.0,6.97e-37
g7845.t1,ref|XP_003871256.1|,Candida orthopsilosis Co 90-125,100.0,1.44e-21
g4843.t1,gb|KGU23297.1|,Candida albicans P57055,88.2,4.51e-17
g2971.t1,gb|EMG45936.1|,Candida maltosa Xu316,63.2,1.15e-08
g5318.t1,gb|KAG2733145.1|,Scheffersomyces stipitis,969.0,0.0
g5464.t1,gb|KAK6874446.1|,Candida tropicalis,489.0,1.04e-170
g6901.t1,gb|KAE8289371.1|,Larimichthys crocea,77.8,6.11e-13
g3723.t1,gb|RCK58931.1|,Candida viswanathii,92.4,2.08e-18
g834.t1,ref|XP_051612598.1|,Candida pseudojiufengensis,119.0,3.58e-30
g1613.t1,ref|XP_002418984.1|,Candida dubliniensis CD36,223.0,1.09e-67
g3095.t1,gb|KGU33196.1|,Candida albicans P57055,55.5,5.62e-06
g744.t1,gb|KAF6071070.1|,Candida albicans,218.0,2.02e-62
g8168.t1,gb|EMG45632.1|,Candida maltosa Xu316,741.0,0.0
g3127.t2,ref|XP_001385008.2|,Scheffersomyces stipitis CBS 6054,100.0,1.74e-18
g7124.t1,gb|RCK66008.1|,Candida viswanathii,309.0,1.33e-95
g2867.t1,gb|KGU28854.1|,Candida albicans P34048,141.0,4.51e-32
g1523.t1,ref|XP_051608213.1|,Candida theae,106.0,1.29e-23
g2538.t1,ref|XP_051611903.1|,Candida pseudojiufengensis,278.0,6.30e-92
g7190.t1,ref|XP_049263485.1|,Candida,59.3,9.92e-07
g628.t1,gb|AJT59418.1|,Candida tropicalis,316.0,2.22e-96
g204.t1,gb|KAL1575631.1|,Candida albicans,166.0,7.21e-45
g8134.t1,gb|KAK6896650.1|,Candida tropicalis,590.0,0.0
g7878.t1,ref|XP_067547101.1|,Candida metapsilosis,154.0,1.22e-44
g3448.t1,ref|XP_051617832.1|,Candida jiufengensis,97.8,5.32e-21
g7314.t1,ref|XP_049265796.1|,Candida,213.0,1.42e-57
g5857.t1,ref|XP_049265401.1|,Candida,160.0,3.55e-43
g3642.t1,ref|XP_066830181.1|,Lodderomyces beijingensis,99.8,9.98e-22
