SwissProt_query,SwissProt_subject,SwissProt_taxon,SwissProt_bitscore,SwissProt_evalue
g2236.t1,sp|P43074|WHS11_CANAW,Candida albicans (strain WO-1),86.7,1.86e-23
g1300.t1,sp|D3ZG52|DNA2_RAT,Rattus norvegicus,75.1,1.76e-15
g5061.t1,sp|P38680|MTR_NEUCR,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),47.8,1.22e-06
g4840.t1,sp|D0C9N6|CNTA_ACIB2,Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81),132.0,1.04e-34
g4549.t1,sp|P78591|FET3_CANAX,Candida albicans,57.0,1.58e-10
g8041.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),364.0,1.75e-114
g4744.t1,sp|Q59Z29|AFT2_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),140.0,3.53e-33
g5268.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),145.0,6.39e-41
g2474.t1,sp|Q5AXT5|PIF1_EMENI,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),57.8,2.25e-08
g4300.t1,sp|P38859|DNA2_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),47.8,9.78e-07
g4826.t1,sp|Q5AJC1|BRO1_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),52.8,2.25e-08
g7801.t1,sp|A0A0J9WP80|FTF2_FUSO4,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936),73.9,1.56e-13
g1613.t2,sp|Q640S1|S39A9_XENTR,Xenopus tropicalis,122.0,1.15e-31
g4598.t1,sp|P53707|CSP37_CANAX,Candida albicans,230.0,5.20e-72
g6419.t1,sp|P87020|PRA1_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),364.0,6.18e-126
g7039.t1,sp|Q6BMF7|AIM3_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),76.3,2.85e-16
g812.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),127.0,3.09e-33
g7735.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),187.0,2.84e-52
g676.t1,sp|Q5A343|PGA13_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),93.2,3.62e-20
g6272.t1,sp|Q6BUP7|HUB1_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),130.0,8.03e-41
g99.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),180.0,9.19e-51
g2609.t1,sp|P07272|PPR1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),62.8,1.41e-11
g2766.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),98.2,4.57e-24
g2723.t1,sp|P80967|TOM5_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),45.4,1.27e-07
g1119.t1,sp|Q59UT4|RBT5_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),49.7,9.89e-07
g4116.t1,sp|P40459|PANC_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),276.0,3.63e-91
g7682.t1,sp|Q5AC37|PRP45_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),59.3,2.37e-11
g1195.t1,sp|Q1QYU7|GBMOO_CHRSD,Chromohalobacter salexigens (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11),90.9,4.21e-21
g1674.t1,sp|Q59S72|ALG11_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),172.0,9.57e-51
g6746.t1,sp|P38680|MTR_NEUCR,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),232.0,2.05e-69
g3692.t1,sp|P53187|HOP2_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),58.9,1.77e-09
g2437.t1,sp|P40154|IES2_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),55.1,3.63e-07
g3716.t1,sp|Q6IE26|EPHX4_MOUSE,Mus musculus,94.4,1.05e-20
g5363.t1,sp|Q59L86|PGA25_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),62.4,6.29e-09
g7660.t1,sp|P38766|RRM3_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),113.0,6.42e-29
g67.t1,sp|A3LUT0|NOP58_PICST,Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545),47.0,3.73e-06
g3911.t1,sp|P32489|MEI5_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),52.0,2.88e-07
g311.t1,sp|Q5ADX2|HIR3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),141.0,3.03e-39
g4800.t1,sp|O74858|SYKM_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),46.2,4.19e-06
g7374.t1,sp|Q5A5U4|RHD3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),66.6,1.83e-13
g4887.t1,sp|P47083|MPP10_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),330.0,4.22e-104
g6812.t1,sp|Q9URY7|FMDA_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),602.0,0.0
g7788.t1,sp|Q59XM0|QDR3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),48.5,1.13e-06
g6569.t1,sp|Q6BTL5|DRS1_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),74.3,4.19e-16
g5036.t1,sp|Q6BNU7|XRN2_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),152.0,2.94e-43
g1689.t1,sp|Q1QYU7|GBMOO_CHRSD,Chromohalobacter salexigens (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11),80.1,8.32e-18
g1484.t1,sp|Q5ADN9|PFA3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),105.0,1.34e-27
g7538.t1,sp|Q04895|DAL4_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),548.0,0.0
g3251.t1,sp|Q59ZB1|ADE_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),583.0,0.0
g2298.t1,sp|Q6BPV1|COX9_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),80.5,4.01e-21
g6288.t1,sp|Q06852|SLAP1_ACET2,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),189.0,6.45e-50
g813.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),125.0,1.01e-32
g2236.t2,sp|P43074|WHS11_CANAW,Candida albicans (strain WO-1),92.0,1.28e-25
g4652.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),109.0,1.98e-28
g1127.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),65.5,6.04e-12
g6752.t1,sp|P32460|DCG1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),108.0,1.98e-27
g6630.t1,sp|A8YPR9|SVMI1_CERCE,Cerastes cerastes,63.5,1.20e-10
g4649.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),110.0,8.41e-29
g2508.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),251.0,1.09e-70
g2303.t1,sp|P0CU26|INA17_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),43.9,7.44e-06
g1814.t1,sp|Q5ADX2|HIR3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),69.7,3.33e-14
g8100.t1,sp|Q06598|ARR3_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),110.0,8.15e-29
g2678.t1,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),1707.0,0.0
g3534.t1,sp|Q5RIM0|LYRM2_DANRE,Danio rerio,48.9,1.02e-07
