query,subject,taxon,bitscore,evalue
g2586.t1,sp|P39103|COX14_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),48.1,5.21e-08
g3011.t1,sp|P22943|HSP12_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),75.1,2.16e-17
g4840.t1,sp|D0C9N6|CNTA_ACIB2,Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81),132.0,1.04e-34
g7682.t1,sp|Q5AC37|PRP45_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),59.3,2.37e-11
g433.t1,sp|Q6BXG5|TDA11_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),200.0,4.30e-58
g1814.t1,sp|Q5ADX2|HIR3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),69.7,3.33e-14
g4598.t1,sp|P53707|CSP37_CANAX,Candida albicans,230.0,5.20e-72
g2428.t1,sp|Q4ZGE1|EMR1_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),56.6,1.28e-11
g6746.t1,sp|P38680|MTR_NEUCR,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),232.0,2.05e-69
g6250.t1,sp|P46965|SPC1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),46.2,6.48e-07
g5909.t1,sp|P54563|YQJZ_BACSU,Bacillus subtilis (strain 168),79.7,2.32e-19
g2765.t1,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),80.5,3.35e-18
g7680.t1,sp|P49413|UAY_EMENI,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),62.4,4.75e-10
g7194.t1,sp|Q04608|YD124_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),79.7,2.51e-15
g6990.t1,sp|Q5A8H7|SWC5_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),271.0,2.63e-88
g1008.t1,sp|Q03400|SANT_PLAF7,Plasmodium falciparum (isolate 3D7),88.2,3.41e-19
g7788.t1,sp|Q59XM0|QDR3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),48.5,1.13e-06
g676.t1,sp|Q5A343|PGA13_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),93.2,3.62e-20
g311.t1,sp|Q5ADX2|HIR3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),141.0,3.03e-39
g5385.t1,sp|Q5ADX2|HIR3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),143.0,4.61e-40
g6654.t1,sp|Q06852|SLAP1_ACET2,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),138.0,6.72e-35
g6322.t1,sp|Q5A1A9|PGA43_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),158.0,1.39e-46
g1854.t1,sp|Q9ES73|MAGD1_RAT,Rattus norvegicus,52.0,9.58e-08
g6630.t1,sp|A8YPR9|SVMI1_CERCE,Cerastes cerastes,63.5,1.20e-10
g2867.t1,sp|P37370|VRP1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),71.6,5.65e-12
g3878.t1,sp|Q59N20|MSS11_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),121.0,4.53e-28
g1417.t1,sp|Q9UTA9|YL89_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),95.9,6.45e-22
g6504.t1,sp|Q06852|SLAP1_ACET2,Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),145.0,1.27e-36
g7782.t1,sp|P87136|YDM5_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),199.0,1.14e-50
g92.t1,sp|Q65169|VF602_ASFB7,African swine fever virus (strain Badajoz 1971 Vero-adapted),70.5,1.54e-11
g6419.t1,sp|P87020|PRA1_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),364.0,6.18e-126
g1195.t1,sp|Q1QYU7|GBMOO_CHRSD,Chromohalobacter salexigens (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11),90.9,4.21e-21
g2236.t2,sp|P43074|WHS11_CANAW,Candida albicans (strain WO-1),92.0,1.28e-25
g5964.t1,sp|P0CT43|TF28_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),167.0,1.36e-44
g3898.t1,sp|Q5A6K2|ATG22_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),628.0,0.0
g67.t1,sp|A3LUT0|NOP58_PICST,Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545),47.0,3.73e-06
g521.t1,sp|Q9HCI5|MAGE1_HUMAN,Homo sapiens,56.6,2.44e-08
g3941.t1,sp|Q06821|YP084_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),191.0,4.19e-56
g6752.t1,sp|P32460|DCG1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),108.0,1.98e-27
g867.t1,sp|Q9V4S8|CSN7_DROME,Drosophila melanogaster,55.8,3.93e-08
g7373.t1,sp|Q5A5U6|PGA30_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),108.0,4.79e-28
g5318.t1,sp|P40850|MKT1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),296.0,6.32e-87
g4754.t1,sp|P43596|IOC3_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),59.7,8.87e-08
g1119.t1,sp|Q59UT4|RBT5_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),49.7,9.89e-07
g7368.t1,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),261.0,1.68e-79
g712.t1,sp|Q9BWT6|MND1_HUMAN,Homo sapiens,85.9,1.39e-19
g7039.t1,sp|Q6BMF7|AIM3_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),76.3,2.85e-16
g4744.t1,sp|Q59Z29|AFT2_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),140.0,3.53e-33
g7368.t2,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),237.0,2.01e-71
g2609.t1,sp|P07272|PPR1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),62.8,1.41e-11
g6678.t1,sp|Q12114|CHS5_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),56.6,1.07e-07
g7374.t1,sp|Q5A5U4|RHD3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),66.6,1.83e-13
g2236.t1,sp|P43074|WHS11_CANAW,Candida albicans (strain WO-1),86.7,1.86e-23
g1689.t1,sp|Q1QYU7|GBMOO_CHRSD,Chromohalobacter salexigens (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11),80.1,8.32e-18
g3716.t1,sp|Q6IE26|EPHX4_MOUSE,Mus musculus,94.4,1.05e-20
